13:29:31.379043 config: drop-rate=0.00, max-delay=0s, seed=1553707771378046500
13:29:31.380041 router is listening at :3000
13:29:55.500693 [queue=0] packet #601, 127.0.0.1:57758 -> 127.0.0.1:8007, sz=4 is delivered
13:29:55.505681 [queue=0] packet #247, 127.0.0.1:8007 -> 127.0.0.1:57758, sz=4 is delivered
13:29:55.511664 [queue=0] packet #3, 127.0.0.1:57759 -> 127.0.0.1:8007, sz=4 is delivered
13:29:55.513659 [queue=0] packet #3, 127.0.0.1:8007 -> 127.0.0.1:57759, sz=4 is delivered
13:29:55.528619 [queue=0] packet #0, 127.0.0.1:57760 -> 127.0.0.1:8007, sz=1 is delivered
13:29:55.532609 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:57760, sz=1 is delivered
13:29:55.538591 [queue=0] packet #1, 127.0.0.1:57761 -> 127.0.0.1:8007, sz=4 is delivered
13:29:55.542581 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:57761, sz=4 is delivered
13:29:55.546569 [queue=0] packet #2, 127.0.0.1:57762 -> 127.0.0.1:8007, sz=4 is delivered
13:29:55.550558 [queue=0] packet #2, 127.0.0.1:8007 -> 127.0.0.1:57762, sz=4 is delivered
13:29:55.561530 [queue=0] packet #3, 127.0.0.1:57763 -> 127.0.0.1:8007, sz=4 is delivered
13:29:55.566516 [queue=0] packet #3, 127.0.0.1:8007 -> 127.0.0.1:57763, sz=4 is delivered
13:29:55.571502 [queue=0] packet #4, 127.0.0.1:57764 -> 127.0.0.1:8007, sz=4 is delivered
13:29:55.574494 [queue=0] packet #4, 127.0.0.1:8007 -> 127.0.0.1:57764, sz=4 is delivered
13:29:55.579480 [queue=0] packet #5, 127.0.0.1:57765 -> 127.0.0.1:8007, sz=4 is delivered
13:29:55.582473 [queue=0] packet #5, 127.0.0.1:8007 -> 127.0.0.1:57765, sz=4 is delivered
13:29:55.587458 [queue=0] packet #6, 127.0.0.1:57766 -> 127.0.0.1:8007, sz=4 is delivered
